books,writer,rating,description,statistics,details,urls,genres,reading,will_read
La vuelta al mundo con la tía Mame,"['Patrick Dennis', 'Miguel Temprano García', 'Patrick Dennis']",4.09,"Tras partir hacia Oriente con el pequeño Michael, tía Mame (que nos sorprendió y fascinó con La tía Mame, Acantilado, 2010) había prometido regresar a tiempo para la vuelta al colegio del niño. Pero ya han pasado dos años y medio, y nada se sabe de la extraña pareja, más allá de algunas postales fortuitas llegadas desde lugares exóticos. Pegeen está fuera de sí, pero Patrick intenta calmarla: tía Mame es la mejor compañera para dar la vuelta al mundo, su único problema es no ver nunca el momento de regresar… Así que Patrick decide explicar a su mujer, con bastantes omisiones, una parte de su vida que había mantenido oculta hasta entonces: unos años antes de la Segunda Guerra Mundial, él dio la vuelta al mundo con tía Mame: París, Londres, la Austria nazi, la Rusia soviética y Oriente son algunos de los destinos de ese divertidísimo viaje, lleno de aventuras, en el que el lector no para­rá de reír con la extravagante y deliciosa Mame, con su sentido del humor irreverente y sus ganas de vivir.","2,228 ratings and 211 reviews","['360 pages, Paperback', 'First published January 1, 1958']",https://www.goodreads.com/book/show/18712945,"['Fiction', 'Humor', 'Classics', 'Historical Fiction', 'Travel', 'Comedy', 'The United States Of America', '...more']",82 people are currently reading,"1,892 people want to read"
"Dorohedoro, vol. 1","['Q. Hayashida', 'Christian Caccioppoli', 'Q. Hayashida']",4.30,"DOROHEDORO
de Q Hayashida
Serie de 12 tomos – Edición 2en1
Formato A5
Salida: PRIMAVERA 2021

¡Enorme como es originalmente y al doble de como lo esperabas!
Por fin llegan a Argentina las estrámboticas aventuras de Kaiman, Nikaido y demás atorrantes de “The Hole”, una ciudad tan deprimente y lúgubre como su nombre lo indica. Allí, un clan de hechiceros secuestra gente de las calles para usarla como conejillos de india en sus atroces experimentos con las artes oscuras. Una de sus víctimas, Kaiman, sufre un severo caso de amnesia… ¡y encima su cabeza ahora parece de lagarto! Ayudado por Nikaido, la joven propietaria del restaurante de gyoza Hungry Bug, y una extraña presencia dentro de su boca, Kaiman emprende la búsqueda del hechicero que le cagó la vida. Pero, cuando el líder de los hechiceros se entera de que un hombre-lagarto está matando a su gente, envía un equipo de “limpiadores” a The Hole, iniciando una guerra entre dos mundos.
Dorohedoro es un fenómeno de culto gracias a su extraño sentido del humor, con personajes terriblemente queribles pese a vivir en un mundo más turbio que la mierda, con mucha violencia surreal y un dibujo sucio y detallado dibujo gracias a la pluma de Q Hayashida. Nuestra edición será en tomos dobles en formato A5, pero no unos tradicionales. Como la edición recopilatoria original japonesa comprende tomos de entre 160 y 360 páginas ( !! ), los nuestros serán de entre 330 y 600 según el caso. Además, se respetarán todas las páginas con tinta plateada, bitono o full color que hay a lo largo de los tomos. La serie fue publicada entre los años 2000 y 2018 en diferentes revistas de la editorial Shogakukan (Gessan, Hibana e Ikki), pero sin dudas fue el anime que se puede ver el Netflix adaptando los primeros tomos lo que terminó de catapultarlo a la fama.",88 ratings and 14 reviews,"['330 pages, Paperback', 'Published October 8, 2021']",https://www.goodreads.com/book/show/57608579,"['Manga', 'Humor', 'Seinen']",2 people are currently reading,17 people want to read
,,,,,,https://www.goodreads.com/book/show/50530704,,,
La frontera lleva su nombre,"['Elena Moreno Scheredre', 'Elena Moreno Scheredre']",4.20,"La frontera lleva su nombre es el relato de cuatro generaciones de mujeres valientes acostumbradas a sentir en silencio, a través del tiempo, las fronteras, el amor y la guerra.

La gran novela de las golondrinas del País Vasco, Aragón y Navarra.

Una novela emocionante tejida con los hilos de una historia real silenciada.

Desde finales del siglo XIX y hasta los años cincuenta del siglo pasado, las jóvenes más humildes del Pirineo navarro cruzaban a pie las montañas para trabajar en las fábricas de alpargatas del lado francés. Como las golondrinas, marchaban en octubre y regresaban en primavera, llenas de ilusión y cargadas de telas y enseres para el ajuar que constituiría su aportación a un futuro matrimonio.

Esperanza Ayerra es biznieta de Esperanza, una golondrina que cruzó los Pirineos en 1913 y a la que la mayor contienda mundial robó su porvenir. Es nieta de Esperanza, conocida como Perla, que no tuvo padre, ni marido, por el cruel destino de una España dividida. Es hija de Espe, una mujer que se tragó sus penas y a la que la historia dejó sin aire. Es el fruto de la frontera entre dos países que se alejan y se acercan cuando sus pobladores se enamoran.

«Mi bisabuela, como la mayoría de las roncalesas de su generación, era una golondrina. Con las mujeres de otros valles cercanos, se iban a Francia a trabajar, donde fabricaban alpargatas por siete o diez céntimos de franco la hora... Las llamaban «las golondrinas», hirondelles en francés, porque su emigración coincidía con la de estas aves. Se iban en octubre y volvían en mayo o junio, y nunca supieron si las raíces de sus vidas estaban a un lado o al otro de los Pirineos».",153 ratings and 27 reviews,"['512 pages, Hardcover', 'Published May 19, 2022']",https://www.goodreads.com/book/show/60721553,,13 people are currently reading,205 people want to read
¿Hay vida en la Tierra?,"['Juan Villoro', 'Juan Villoro']",4.03,"Las páginas de ¿Hay vida en la Tierra? concentran cien historias tan diversas como contundentes. Juan Villoro analiza el extraño misterio de ser mexicano, se ocupa de la forma en que la tecnología modifica nuestras relaciones, desarrolla una teoría del mariachi, presencia una confesión del escritor japonés Kenzaburo Oé, conoce a dos tortugas en el campo de concentración de Dachau, abre una maleta que encierra el dolor del exilio republicano, enfrenta el desafío mayúsculo de pedir un capuchino y diseña un episodio de Los Simpson en el Distrito Federal.

Hilarante catálogo de las paranoias, malentendidos, molestias e ilusiones que conforman la vida cotidiana, ¿Hay vida en la Tierra? traza un singular retrato de nuestra época. El registro de los sucesos transita con fluidez de lo culto a lo popular. Los afilados aforismos de este libro pueden venir de Nietzsche, una galleta china de la suerte, un gurú del kung-fu, un taxista extraviado, una niña de siete años o un peluquero deprimido. Imprescindible manual de primeros auxilios para entender la forma en que el presente se convierte en tradición, revela secretos para cuidar amistades como peces dorados, llegar al destino con oportuno atraso y entender la despedida como un poema épico. Villoro, en una exhibición literaria de primer orden, logra que la indómita vida diaria adquiera sentido al ordenarse en una historia.

(Francisco Magaña, Letras Libres).",456 ratings and 61 reviews,"['432 pages, Paperback', 'First published January 1, 2012']",https://www.goodreads.com/book/show/13502872,"['Fiction', 'Short Stories']",74 people are currently reading,514 people want to read
Watchmen #5: Fearful Symmetry,"['Alan Moore', 'Dave Gibbons', 'John Higgins', 'Alan Moore']",4.21,Book 5 of 12.,873 ratings and 47 reviews,"['35 pages, Paperback', 'First published January 1, 1986']",https://www.goodreads.com/book/show/17861029,"['Comics', 'Graphic Novels', 'Fiction', 'Dc Comics', 'Comic Book', 'Superheroes', 'Graphic Novels Comics', '...more']",15 people are currently reading,321 people want to read
Watchmen #6: The Abyss Gazes Also,"['Alan Moore', 'Dave Gibbons', 'John Higgins', 'Alan Moore']",4.56,Watchmen #6: The Abyss Gazes Also.,863 ratings and 70 reviews,"['35 pages, Paperback', 'First published January 1, 1986']",https://www.goodreads.com/book/show/17861035,"['Graphic Novels', 'Fiction', 'Dc Comics', 'Comic Book', 'Superheroes', 'Graphic Novels Comics', 'Science Fiction', '...more']",7 people are currently reading,320 people want to read
El señor presidente,"['Miguel Ángel Asturias', 'Miguel Ángel Asturias']",3.97,"Edición conmemorativa de la obra maestra de Miguel Ángel Asturias, Premio Nobel de Literatura.

Escrita entre 1920 y 1933 y publicada en 1946, El señor presidente es uno de los máximos exponentes de la llamada «novela del dictador» en la que se encuadran otras obras fundamentales como Yo el Supremo, de Roa Bastos, Tirano Banderas, de Valle-Inclán, El otoño del patriarca, de Gabriel García Márquez, o más recientemente, La Fiesta del Chivo, de Mario Vargas Llosa. En ella, Asturias se inspira en el último gobierno de Manuel Estrada Cabrera, en Guatemala, para explorar los mecanismos que hacen funcionar una dictadura política, así como sus efectos en la sociedad. Narrada desde distintos puntos de vista que van conformando de manera indirecta la figura del Presidente, esta novela es uno de los antecedentes más notables del boom latinoamericano y del realismo mágico, cuyo máximo exponente es GarcíaMárquez. Su declarada condena de las injusticias y la tiranía le valió ser censurada y prohibida durante trece años, mientras que, en contraposición, su riqueza estilística y la originalidad de su estructura narrativa la convirtieron en una de las novelas que más influyeron en toda una generación de autores de América Latina. Adaptada al cine y al teatro, y traducida a los principales idiomas, la novela tuvo una gran acogida en el momento de su publicación tanto por la crítica como por los lectores.","5,956 ratings and 595 reviews","['553 pages, Kindle Edition', 'First published January 1, 1946']",https://www.goodreads.com/book/show/53938613,,510 people are currently reading,14.1k people want to read
Pétalos al viento,"['V.C. Andrews', 'V.C. Andrews']",3.82,"Continuación de la inolvidable Flores en el ático, la presente novela está escrita con la misma maestría y sensibilidad, pero lleva la historia de la familia Dollanganger a extremos de subyugante tensión. En efecto, lo que en la anterior novela era ternura infantil ahora se ha convertido en erotismo, resentimiento y astucia...","69,540 ratings and 3,353 reviews","['552 pages, Mass Market Paperback', 'First published November 10, 1980']",https://www.goodreads.com/book/show/231862,"['Fiction', 'Horror', 'Young Adult', 'Romance', 'Gothic', 'Thriller', 'Drama', '...more']","2,265 people are currently reading",23.3k people want to read
Todos los muertos,"['Edith Wharton', 'Francisco Schilling', 'TopoPanda', 'Edith Wharton']",3.56,"Todos los muertos reúne una selección de cuatro cuentos de Edith Wharton, que se enmarcan en cuatro momentos de su obra —de 1901 a 1937—, y que abordan algunos de los temas más recurrentes de su escritura: la muerte, los fantasmas y los ritos paganos. En ellos es posible encontrar los elementos clásicos de la narrativa gótica, como el horror y lo sobrenatural, la persistencia fantasmagórica del pasado, los cementerios, los castillos y la brujería, pero también la presencia de una crítica constante hacia la condición subalterna de las mujeres en Occidente. A partir de ello, Wharton narra desde un gótico doméstico que gira en torno a diversas formas de denuncia y resistencia ante la dominación machista y religiosa, la condena de la sexualidad y las innumerables formas de invisibilización y violencia ejercidas contra las mujeres.
Con una capacidad de fabulación extraordinaria, Wharton nos transporta a un castillo en ruinas custodiado por perros mudos que apenas se mueven; a la desesperación de una mujer que, luego de un accidente, queda abandonada en una mansión aislada del mundo; al horror de un vínculo determinado por el machismo dentro de una casona fantasmagórica; y a la persistencia del dominio de un marido sobre su esposa incluso después de muerta.",39 ratings and 7 reviews,"['186 pages, Paperback', 'Published September 13, 2024']",https://www.goodreads.com/book/show/220170677,,5 people are currently reading,20 people want to read
